original_url,source_website,resolution,search_query,local_path,short_caption
https://cand.com.vn/Files/Image/chienthang/2020/04/06/08aecc16-8462-4443-9dbb-88aa6d1b572e.jpg,Công an Nhân dân,600x400,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_fb9c9f46.jpg,"Vỉa hè hẹp, khá bừa bộn với hàng quán nhỏ bày bán đồ ăn.  Người dân ngồi đọc báo, xe máy đỗ sát vỉa hè.  Cây xanh và ghế đá không nhìn thấy rõ.
"
https://cafebiz.cafebizcdn.vn/162123310254002176/2024/1/1/9-anh-1-via-he-duong-hung-vuong-quan-5-duoc-son-ke-vach-vang-ai-my-17040246564941929810802-1704073600647-17040736007441442461735.jpg,CafeBiz,2000x1500,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_bc132b4c.jpg,"Vỉa hè tương đối rộng, phần lớn sạch sẽ, có nhiều cây xanh.  Người đi bộ, xe máy đỗ dọc vỉa hè, một số cửa hàng kinh doanh trên vỉa hè.
"
https://cdn.tiasang.com.vn/tiasang-media/2023/05/tam-hon-via-he-anh-3-1.jpg,Tạp chí Tia sáng,1901x1271,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_0f1d2927.jpg,"Vỉa hè hẹp, tương đối sạch sẽ, có nhiều cây xanh.  Người dân ngồi uống nước ở quán nhỏ, xe máy đậu ven đường.  Có ghế nhựa và bàn nhỏ để phục vụ khách.
"
https://cand.com.vn/Files/Image/chienthang/2020/04/06/thumb_660_54694809-c46f-4468-85cf-5193893d216d.jpg,Công an Nhân dân,660x451,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_c4c38b12.jpg,"Vỉa hè tương đối rộng, sạch sẽ. Một người đàn ông đang xem bảng thông báo, một chiếc xe máy đỗ bên cạnh.  Thiếu cây xanh và ghế đá.
"
https://icdn.dantri.com.vn/thumb_w/680/dansinh/2024/10/03/anh-2b-ky-2-kinh-te-via-heok-1727930149378.jpg,Dân sinh - Dân trí,680x454,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_71626442.jpg,"Vỉa hè khá hẹp, có phần bừa bộn do xe máy đậu và các quầy hàng rong.  Người dân vừa đi bộ, vừa mua bán đồ ăn, thức uống ven đường dưới bóng cây xanh.
"
https://static.tuoitre.vn/tto/i/s626/2017/03/15/ht-viahe-2-jpg-1489550320.jpg,Báo Tuổi Trẻ,665x443,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_eb17338d.jpg,"Vỉa hè tương đối hẹp, có phần bừa bộn với các hoạt động buôn bán nhỏ lẻ.  Người đi bộ và xe máy lưu thông trên vỉa hè,  cây xanh thưa thớt.
"
https://media-cdn-v2.laodong.vn/storage/newsportal/2023/9/20/1244094/Via-He-HN.00_00_03_2.jpg,Báo Lao động,1920x1080,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_c661a089.jpg,"Vỉa hè hẹp, khá bừa bộn với xe máy đậu nhiều.  Người đi bộ và xe máy, xe đạp chen chúc trên vỉa hè.  Cây xanh ít, thiếu ghế đá và đèn đường hiện hữu.
"
https://file3.qdnd.vn/data/images/0/2022/10/02/tuanson/3.jpg,Báo Quân đội nhân dân,570x355,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_8005bc7a.jpg,"Vỉa hè hẹp, khá bừa bộn do xe máy đậu và người bán hàng rong chiếm dụng.  Hoạt động chính là buôn bán nhỏ lẻ và người đi bộ, có cây xanh và đèn đường nhưng thiếu ghế đá.
"
https://file1.dangcongsan.vn/data/0/images/2022/12/23/upload_34/viaa-he.jpg,Báo điện tử - Đảng Cộng sản Việt Nam,660x495,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_57a92236.jpg,"Vỉa hè hẹp, phần nào bừa bộn do nhiều xe máy đỗ.  Hoạt động chủ yếu là đỗ xe và có vẻ như một chút hoạt động buôn bán nhỏ. Cây xanh nhiều nhưng thiếu ghế đá và đèn đường nhìn thấy rõ.
"
https://tl.cdnchinhphu.vn/344445545208135680/2023/3/31/via-he-3-16802486785141789412253.jpg,thanglong.chinhphu.vn - Cổng Thông tin điện tử Chính phủ,2000x1224,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_c6659056.jpg,"Vỉa hè hẹp, khá bừa bộn do hàng hóa bày bán tràn lan.  Nhiều người đi bộ và xe máy đỗ trên vỉa hè, tạo nên cảnh mua bán sầm uất.  Cây xanh và ghế đá hầu như không thấy.
"
https://baogiaothong.mediacdn.vn/upload/images/2020-4/article_img/2020-12-09/20201123-144954-1607501486-width1000height750-auto-crop.jpg,Báo Giao Thông,700x525,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_1b109b00.jpg,"Vỉa hè hẹp, hư hỏng nghiêm trọng với nhiều mảng lát bị vỡ.  Một số người đi bộ, xe máy đỗ dọc vỉa hè. Có cây xanh và đèn đường nhưng không có ghế đá.
"
https://phunuvietnam.mediacdn.vn/zoom/660_412/179072216278405120/2023/12/17/5-17028030786659664761-61-0-861-1280-crop-17028031051642012323296.jpg,Báo Phụ nữ Việt Nam,660x412,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_122da122.jpg,"Vỉa hè tương đối hẹp, có người bán hàng rong và một người đàn ông ngồi trên xe máy.  Vỉa hè không quá sạch sẽ, có một chút rác thải.  Cơ sở vật chất hạn chế, không có cây xanh hay ghế đá.
"
https://images2.thanhnien.vn/528068263637045248/2023/4/4/z4237593743712668a5b49fea4d26c0efe4ddc786c07eb-1680612929609807731264.jpg,Báo Thanh Niên,2000x1333,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_d5cd73b3.jpg,"Vỉa hè tương đối hẹp, phần nào lộn xộn do xe máy đậu khá nhiều.  Người đi bộ, xe máy, và một số hoạt động buôn bán nhỏ lẻ cùng diễn ra trên vỉa hè.  Cây xanh có mặt nhưng cơ sở vật chất khác như ghế đá thì không thấy.
"
https://file1.dangcongsan.vn/DATA/0/2017/04/via_he-09_54_55_246.gif,Báo điện tử - Đảng Cộng sản Việt Nam,490x327,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_329f51e2.gif,"Vỉa hè tương đối hẹp, có phần bừa bộn do hoạt động buôn bán nhỏ lẻ và người đi bộ chen chúc.  Một số xe máy đỗ trên vỉa hè, thiếu cây xanh và ghế đá.
"
https://media-cdn-v2.laodong.vn/storage/newsportal/2024/11/17/1422701/Via-He-Ha-Noi-Cuoi-N.jpg,Báo Lao Động,1400x1050,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_1e36173c.jpg,"Vỉa hè hẹp, khá sạch sẽ, có nhiều xe máy đỗ.  Hoạt động chính là đỗ xe và có người ngồi trước cửa hàng.  Cơ sở vật chất thiếu thốn, không thấy cây xanh, ghế đá hay đèn đường.
"
http://nld.mediacdn.vn/2020/8/31/31-8-via-he-9-15988822136511669203646.jpg,Báo Người Lao Động,2000x1500,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_e2d7dc53.jpg,"Vỉa hè tương đối rộng, khá sạch sẽ, lát gạch.  Người đi bộ thưa thớt, có cây xanh và đèn đường.  Không có hoạt động buôn bán hay chỗ đỗ xe.
"
https://static-images.vnncdn.net/files/publish/2023/2/10/name-14-297.jpg,VietNamNet,2080x1387,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_91c84359.jpg,"Vỉa hè hẹp, khá bừa bộn với một quầy bán mũ bảo hiểm chiếm phần lớn diện tích.  Người đi bộ và xe máy lưu thông trên vỉa hè, cây xanh dọc đường phố thưa thớt.
"
https://ddk.1cdn.vn/2024/07/22/lan_chiem_via_he-le-khanh25-1-.jpg,Báo Đại Đoàn Kết,1920x1280,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_264b9970.jpg,"Vỉa hè hẹp, khá bừa bộn với hàng hóa bày bán tràn lan.  Một cặp đôi đang đi bộ, xe máy đỗ sát lề đường.  Cây xanh ít, không thấy ghế đá hay đèn đường rõ ràng.
"
https://file3.qdnd.vn/data/images/0/2023/03/17/tuanson/1.jpg,Báo Quân đội nhân dân,1632x1229,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_4123b478.jpg,"Vỉa hè tương đối rộng, khá sạch sẽ, có nhiều cây xanh và đèn đường.  Hoạt động chủ yếu là buôn bán của các cửa hàng mặt phố, ít người đi bộ, có vài xe máy đỗ bên lề đường.
"
https://kientrucvietnam.org.vn/wp-content/uploads/2023/06/ha-noi-1.jpg,Tạp chí Kiến trúc Việt Nam,600x400,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_f7929152.jpg,"Vỉa hè tương đối rộng, khá sạch sẽ, ngoại trừ một số xe máy đậu sát lề đường.  Người đi bộ thưa thớt, nhiều xe máy đỗ dọc vỉa hè, không có cây xanh hay ghế đá.
"
