title,original_url,thumbnail_url,source_website,resolution,search_query,page_number,local_path
Vỉa hè như thế giới thu nhỏ của Việt ...,https://cand.com.vn/Files/Image/chienthang/2020/04/06/08aecc16-8462-4443-9dbb-88aa6d1b572e.jpg,https://serpapi.com/searches/6787261ef894b8f2af66e409/images/9874cd0b03aaa15b7f6b5d4cfb1199b1ac5a3b0aa05ca9324f60dcaf844c4547.jpeg,Công an Nhân dân,600x400,vỉa hè đường phố việt nam,0,images/vỉa hè đường phố việt nam_1736910371.jpg
"Vỉa hè chính thức ""mở trang mới""",https://cafebiz.cafebizcdn.vn/162123310254002176/2024/1/1/9-anh-1-via-he-duong-hung-vuong-quan-5-duoc-son-ke-vach-vang-ai-my-17040246564941929810802-1704073600647-17040736007441442461735.jpg,https://serpapi.com/searches/6787261ef894b8f2af66e409/images/9874cd0b03aaa15bad6e1494dac5dd0f2207a110675b71d405becb99e78de80a.jpeg,CafeBiz,2000x1500,vỉa hè đường phố việt nam,0,images/vỉa hè đường phố việt nam_1736910372.jpg
Tâm hồn của vỉa hè - Ấn phẩm Tia Sáng,https://cdn.tiasang.com.vn/tiasang-media/2023/05/tam-hon-via-he-anh-3-1.jpg,https://serpapi.com/searches/6787261ef894b8f2af66e409/images/9874cd0b03aaa15b34b3b9a0cb1601c275f68b44cc271685d4aa10f0d8393d71.jpeg,Tạp chí Tia sáng,1901x1271,vỉa hè đường phố việt nam,0,images/vỉa hè đường phố việt nam_1736910372.jpg
Vỉa hè như thế giới thu nhỏ của Việt ...,https://cand.com.vn/Files/Image/chienthang/2020/04/06/thumb_660_54694809-c46f-4468-85cf-5193893d216d.jpg,https://serpapi.com/searches/6787261ef894b8f2af66e409/images/9874cd0b03aaa15b913a71594aaa47ae9ae5eee3d0b1b349f9d09ac1a2ab98c0.jpeg,Công an Nhân dân,660x451,vỉa hè đường phố việt nam,0,images/vỉa hè đường phố việt nam_1736910372.jpg
Dân Sinh - “Kinh tế vỉa hè” và sự nhếch ...,https://icdn.dantri.com.vn/thumb_w/680/dansinh/2024/10/03/anh-2b-ky-2-kinh-te-via-heok-1727930149378.jpg,https://serpapi.com/searches/6787261ef894b8f2af66e409/images/9874cd0b03aaa15b0dc15ae40836241151edcbd308a5c48bf8ec6ab1351f5e54.jpeg,Dân sinh - Dân trí,680x454,vỉa hè đường phố việt nam,0,images/vỉa hè đường phố việt nam_1736910372.jpg
Vỉa hè con đường đẹp nhất Sài Gòn đã ...,https://static.tuoitre.vn/tto/i/s626/2017/03/15/ht-viahe-2-jpg-1489550320.jpg,https://serpapi.com/searches/6787261ef894b8f2af66e409/images/9874cd0b03aaa15b990eaf3be81d4e9aaad32a446675a654e8c5f38851d82a92.jpeg,Báo Tuổi Trẻ,665x443,vỉa hè đường phố việt nam,0,images/vỉa hè đường phố việt nam_1736910372.jpg
"Vỉa hè, lòng đường Hà Nội vẫn ""đâu vào ...",https://media-cdn-v2.laodong.vn/storage/newsportal/2023/9/20/1244094/Via-He-HN.00_00_03_2.jpg,https://serpapi.com/searches/6787261ef894b8f2af66e409/images/9874cd0b03aaa15b60818907c4060eddf2997350cae07ec3bedac4d169c80cb6.jpeg,Báo Lao động,1920x1080,vỉa hè đường phố việt nam,0,images/vỉa hè đường phố việt nam_1736910372.jpg
Kinh tế vỉa hè” -Bài toán phát triển và ...,https://file3.qdnd.vn/data/images/0/2022/10/02/tuanson/3.jpg,https://serpapi.com/searches/6787261ef894b8f2af66e409/images/9874cd0b03aaa15b85f069b5b0843011e23194f2f8b42601dd89c7b369ce39eb.jpeg,Báo Quân đội nhân dân,570x355,vỉa hè đường phố việt nam,0,images/vỉa hè đường phố việt nam_1736910372.jpg
Trả lại vỉa hè cho con đường “đẹp nhất ...,https://file.qdnd.vn/data/images/0/2021/04/13/nguyenthao/ng%20chi%20thanh.png?dpi=150&quality=100&w=575,https://serpapi.com/searches/6787261ef894b8f2af66e409/images/9874cd0b03aaa15b12e0cc16f6c5537fda5e628e0e588ee7f44ef6fcd1ca68a2.jpeg,Báo Quân đội nhân dân,575x367,vỉa hè đường phố việt nam,0,
Chuyện về cái…. vỉa hè!,https://file1.dangcongsan.vn/data/0/images/2022/12/23/upload_34/viaa-he.jpg,https://serpapi.com/searches/6787261ef894b8f2af66e409/images/9874cd0b03aaa15b1a1cd6d62c601917e6cf38a15359fa261613fd37fb016c49.jpeg,Báo điện tử - Đảng Cộng sản Việt Nam,660x495,vỉa hè đường phố việt nam,0,images/vỉa hè đường phố việt nam_1736910373.jpg
Vỉa hè thành phố có năm bảy đường,http://vannghequandoi.com.vn/thumbnail/VNQD-400-2023-12-20/ngam-ha-noi-thap-nien-1980-1990-qua-anh-doc-cua-nguoi-my-14.jpg,https://serpapi.com/searches/6787261ef894b8f2af66e409/images/9874cd0b03aaa15bad6e1494dac5dd0ff5a0bd49cf72efd9c636b5e4b82ff8b7.jpeg,Văn nghệ quân đội,406x449,vỉa hè đường phố việt nam,0,images/vỉa hè đường phố việt nam_1736910373.jpg
